year,entity,median_past_starts,p90_past_starts,p99_past_starts,median_win_rate,std_win_rate
2006,jockey,186.0,574.0,801.0,0.06060606060606061,0.055123543074703886
2006,trainer,106.0,211.0,301.0,0.06382978723404255,0.053164203916657035
2006,horse,2.0,7.0,11.0,,
2007,jockey,740.0,1314.0,1643.0,0.060790273556231005,0.04373290792692646
2007,trainer,326.0,476.0,622.0,0.06716417910447761,0.03500205626209076
2007,horse,6.0,14.0,20.0,,
2008,jockey,1247.0,2052.0,2490.0899999999965,0.059375,0.04321237787659498
2008,trainer,548.0,761.0,958.0,0.06779661016949153,0.031924611177789324
2008,horse,7.0,19.0,29.0,,
2009,jockey,1770.0,2856.0,3401.0,0.0603448275862069,0.0422595636110274
2009,trainer,774.0,1057.0,1357.0,0.06743185078909612,0.0310422847903399
2009,horse,7.0,23.0,36.0,,
2010,jockey,2215.0,3647.0999999999985,4227.0,0.060544904137235116,0.03871809611076459
2010,trainer,999.0,1354.0,1731.0,0.06693110039566733,0.030601156796602847
2010,horse,7.0,24.0,40.0,,
2011,jockey,2650.0,4415.0,5135.0,0.06063888432757043,0.03808435649180169
2011,trainer,1214.0,1647.0,2127.0,0.0681653372008702,0.030891487137353256
2011,horse,7.0,24.0,43.0,,
2012,jockey,3229.0,5174.0,6176.0,0.06168347941127832,0.03735108309631666
2012,trainer,1438.0,1956.0,2522.0,0.06829268292682927,0.030335946556322706
2012,horse,7.0,24.0,44.0,,
2013,jockey,3515.0,5871.0,7131.0,0.062238986932507075,0.03643061176648828
2013,trainer,1669.0,2272.0,2953.0,0.0688821752265861,0.029785629261323526
2013,horse,7.0,24.0,44.0,,
2014,jockey,3965.0,6653.0,8057.0,0.06429652042360061,0.03627494202372832
2014,trainer,1903.0,2586.0,3394.7400000000052,0.06881028938906752,0.02940681123659613
2014,horse,7.0,24.0,43.0,,
2015,jockey,4367.0,7391.0,9084.0,0.06607929515418502,0.038392593393616385
2015,trainer,2121.0,2900.0,3834.0899999999965,0.06817155756207675,0.028855909418287147
2015,horse,7.0,25.0,43.0,,
2016,jockey,4456.0,7924.0,9938.0,0.0633439725018414,0.038758604152555824
2016,trainer,2331.0,3179.0,4312.0,0.06854162791218743,0.028245022860040027
2016,horse,7.0,25.0,44.0,,
2017,jockey,5077.0,8738.0,10949.0,0.060849598163030996,0.03950674535352697
2017,trainer,2570.0,3484.0,4826.0,0.06842507645259939,0.028072079644875014
2017,horse,7.0,25.0,44.0,,
2018,jockey,5554.5,9308.0,11816.389999999978,0.06053910737958462,0.043134601640759176
2018,trainer,2765.0,3767.0,5374.0,0.06881587104773713,0.028900345836076254
2018,horse,6.0,24.0,45.0,,
2019,jockey,5214.0,9782.0,12578.0,0.060167555217060166,0.041835509887464394
2019,trainer,2964.0,4058.0,5890.0,0.06996935648621042,0.029305503836403776
2019,horse,6.0,24.0,44.0,,
2020,jockey,5219.0,10464.0,13470.0,0.061170212765957445,0.04118426292080192
2020,trainer,3168.0,4329.0,6392.69999999999,0.07033248081841433,0.029350259664936016
2020,horse,6.0,23.0,44.0,,
2021,jockey,4982.0,11076.0,14363.0,0.05922396187882913,0.03876868186365004
2021,trainer,3323.0,4619.0,6898.0,0.07094105480868666,0.028687243728088525
2021,horse,6.0,22.0,42.0,,
2022,jockey,4648.0,11368.0,15215.0,0.06252147028512539,0.04047991495406998
2022,trainer,3437.5,4860.0,7422.0,0.07093775262732417,0.027940526090737387
2022,horse,6.0,22.0,41.0,,
2023,jockey,4556.5,11677.0,16038.0,0.062191358024691355,0.04178539211995331
2023,trainer,3566.0,5140.0,7919.0,0.07102730290506794,0.028266892832985065
2023,horse,6.0,22.0,39.0,,
2024,jockey,4387.0,11965.800000000003,16882.0,0.06,0.04034268107271187
2024,trainer,3650.0,5401.0,8403.559999999998,0.07142857142857142,0.02877442856331714
2024,horse,6.0,21.0,38.0,,
2025,jockey,4684.0,12369.0,17450.0,0.059930126310131684,0.04108164515270154
2025,trainer,3581.0,5541.0,8907.0,0.0717896865520728,0.029066283648774564
2025,horse,6.0,21.0,38.0,,
2026,jockey,4947.0,12451.0,18013.0,0.060561171139769956,0.040005162861761194
2026,trainer,3512.0,5608.100000000002,9393.0,0.07154093552340743,0.03017748950145355
2026,horse,6.0,21.0,39.0,,
