year,column_name,dtype,null_count,missing_rate,unique_count
2016,race_id,String,0,0.0,3454
2016,entry_id,String,0,0.0,50076
2016,race_date,String,0,0.0,107
2016,Year,Int64,0,0.0,1
2016,MonthDay,Int64,0,0.0,107
2016,JyoCD,String,0,0.0,10
2016,Kaiji,Int64,0,0.0,5
2016,Nichiji,Int64,0,0.0,12
2016,RaceNum,Int64,0,0.0,12
2016,Wakuban,Int64,0,0.0,8
2016,Umaban,Int64,0,0.0,18
2016,KettoNum,String,0,0.0,11183
2016,Bamei,String,0,0.0,11183
2016,SexCD,String,0,0.0,3
2016,Barei,Int64,0,0.0,10
2016,ChokyosiCode,String,0,0.0,244
2016,ChokyosiRyakusyo,String,0,0.0,244
2016,KisyuCode,String,0,0.0,187
2016,KisyuRyakusyo,String,0,0.0,186
2016,Futan,Float64,0,0.0,20
2016,BaTaijyu,Float64,0,0.0,129
2016,ZogenFugo,String,11735,0.2343438,3
2016,ZogenSa,Float64,4621,0.09227973,43
2016,IJyoCD,String,0,0.0,5
2016,NyusenJyuni,Int64,0,0.0,19
2016,KakuteiJyuni,Int64,0,0.0,19
2016,Odds,Float64,0,0.0,4229
2016,Ninki,Int64,0,0.0,19
2016,Time,Float64,0,0.0,1621
2016,ChakusaCD,String,3832,0.07652368,23
2016,HaronTimeL3,Float64,0,0.0,206
2016,Jyuni1c,Int64,0,0.0,19
2016,Jyuni2c,Int64,0,0.0,19
2016,Jyuni3c,Int64,0,0.0,19
2016,Jyuni4c,Int64,0,0.0,19
2016,YoubiCD,String,0,0.0,5
2016,GradeCD,String,37343,0.7457265,9
2016,SyubetuCD,String,0,0.0,6
2016,JyokenCD1,String,0,0.0,5
2016,JyokenCD2,String,0,0.0,7
2016,JyokenCD3,String,0,0.0,6
2016,JyokenCD4,String,0,0.0,6
2016,JyokenCD5,String,0,0.0,6
2016,JyokenName,Null,50076,1.0,1
2016,Kyori,Int64,0,0.0,46
2016,TrackCD,String,0,0.0,13
2016,CourseKubunCD,String,24880,0.4968448,5
2016,HassoTime,String,0,0.0,91
2016,TorokuTosu,Int64,0,0.0,14
2016,SyussoTosu,Int64,0,0.0,14
2016,TenkoCD,String,0,0.0,5
2016,SibaBabaCD,String,0,0.0,1
2016,DirtBabaCD,String,0,0.0,1
2016,TanOdds,Float64,32994,0.6588785,3066
2016,TanNinki,Int64,32994,0.6588785,19
2016,TanVote,Int64,32937,0.65774023,1195
