feature_set,kind,column_name,exists_in_dataset,null_rate
market_free,numeric,Year,True,0.0
market_free,numeric,MonthDay,True,0.0
market_free,numeric,Kaiji,True,0.0
market_free,numeric,Nichiji,True,0.0
market_free,numeric,RaceNum,True,0.0
market_free,numeric,Wakuban,True,0.0
market_free,numeric,Umaban,True,0.0
market_free,numeric,Barei,True,0.0
market_free,numeric,Futan,True,0.0
market_free,numeric,BaTaijyu,True,0.00523641
market_free,numeric,ZogenSa,True,0.10280481
market_free,numeric,Kyori,True,0.0
market_free,numeric,TorokuTosu,True,0.0
market_free,numeric,SyussoTosu,True,0.0
market_free,numeric,place_rank_limit,True,0.0
market_free,numeric,horse_days_since_last,True,0.11191762
market_free,numeric,horse_past_starts,True,0.0
market_free,numeric,horse_last1_avg_finish,True,0.11191762
market_free,numeric,horse_last3_avg_finish,True,0.11191762
market_free,numeric,horse_last5_avg_finish,True,0.11191762
market_free,numeric,horse_last3_win_rate,True,0.11191762
market_free,numeric,horse_last5_win_rate,True,0.11191762
market_free,numeric,horse_last3_ren_rate,True,0.11191762
market_free,numeric,horse_last5_ren_rate,True,0.11191762
market_free,numeric,horse_last3_top3_rate,True,0.11191762
market_free,numeric,horse_last5_top3_rate,True,0.11191762
market_free,numeric,horse_last3_place_paid_rate,True,0.11191762
market_free,numeric,horse_last5_place_paid_rate,True,0.11191762
market_free,numeric,horse_last3_avg_haron_l3,True,0.11191762
market_free,numeric,horse_last5_avg_haron_l3,True,0.11191762
market_free,numeric,horse_last3_avg_time,True,0.11191762
market_free,numeric,horse_last5_avg_time,True,0.11191762
market_free,numeric,horse_distance_diff_last,True,0.11191762
market_free,numeric,horse_futan_diff_last,True,0.11191762
market_free,numeric,horse_body_weight_diff_last,True,0.1166124
market_free,numeric,horse_jyo_past_starts,True,0.0
market_free,numeric,horse_jyo_win_rate,True,0.41608007
market_free,numeric,horse_jyo_top3_rate,True,0.41608007
market_free,numeric,horse_surface_past_starts,True,0.0
market_free,numeric,horse_surface_win_rate,True,0.17607896
market_free,numeric,horse_surface_top3_rate,True,0.17607896
market_free,numeric,horse_dist_band_past_starts,True,0.0
market_free,numeric,horse_dist_band_win_rate,True,0.3286346
market_free,numeric,horse_dist_band_top3_rate,True,0.3286346
market_free,numeric,horse_baba_past_starts,True,0.0
market_free,numeric,horse_baba_win_rate,True,0.11191762
market_free,numeric,horse_baba_top3_rate,True,0.11191762
