race_id,entry_id,Year,MonthDay,JyoCD,Kaiji,Nichiji,RaceNum,Umaban,KettoNum,Bamei,KakuteiJyuni,IJyoCD,se_odds,se_ninki,o1_tan_odds,o1_tan_ninki,FukuOddsLow,FukuOddsHigh,FukuNinki,TanUmaban,TanPay,hr_tan_ninki,FukuUmaban,FukuPay,hr_fuku_ninki,Kyori,TrackCD,TenkoCD,SibaBabaCD,DirtBabaCD,joined_ra,joined_o1,joined_hr,win_matches_tan,place_in_fuku_umaban,odds_relation
2016-0105-06-01-01-01,2016-0105-06-01-01-01-01,2016,105,06,1,1,1,1,2013105621,プロジェクション,16,0,190.5,14,190.5,14,36.0,62.7,15,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-02,2016,105,06,1,1,1,2,2013104555,トウショウシェル,10,0,84.2,11,84.2,11,18.8,32.5,12,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-03,2016,105,06,1,1,1,3,2013104573,トウショウアパッチ,14,0,14.7,6,14.7,6,3.1,5.0,6,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-04,2016,105,06,1,1,1,4,2013102283,レオベローナ,8,0,292.7,16,292.7,16,48.3,84.1,16,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-05,2016,105,06,1,1,1,5,2013100107,ブライトピスケス,5,0,5.4,3,5.4,3,1.5,2.3,3,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-06,2016,105,06,1,1,1,6,2013100103,ワンダフルブルー,12,0,115.0,13,115.0,13,22.8,39.7,13,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-07,2016,105,06,1,1,1,7,2013103101,マイティジャック,6,0,14.9,7,14.9,7,3.2,5.2,7,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-08,2016,105,06,1,1,1,8,2013104668,モンマルトル,15,0,23.4,8,23.4,8,4.6,7.8,8,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-09,2016,105,06,1,1,1,9,2013103416,ビバラビダ,4,0,65.6,10,65.6,10,12.0,20.7,10,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-10,2016,105,06,1,1,1,10,2013106151,カリアティード,9,0,6.9,4,6.9,4,2.0,3.2,5,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-11,2016,105,06,1,1,1,11,2013102845,タイトルリーフ,2,0,7.9,5,7.9,5,2.0,3.1,4,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-12,2016,105,06,1,1,1,12,2013100513,シゲルヒラマサ,1,0,3.5,1,3.5,1,1.2,1.5,1,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,1,1,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-13,2016,105,06,1,1,1,13,2013102932,ノボホウセイ,3,0,3.8,2,3.8,2,1.4,1.9,2,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-14,2016,105,06,1,1,1,14,2013102277,アキツシマ,7,0,227.7,15,227.7,15,33.4,58.2,14,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-15,2016,105,06,1,1,1,15,2013104382,グットトキメク,11,0,112.0,12,112.0,12,13.1,22.7,11,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-01,2016-0105-06-01-01-01-16,2016,105,06,1,1,1,16,2013103702,リリーウェントス,13,0,52.1,9,52.1,9,9.4,16.1,9,12,350,1,12,120,1,1200,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-02,2016-0105-06-01-01-02-01,2016,105,06,1,1,2,1,2013100549,サンマルトゥーレ,15,0,182.5,12,182.5,12,26.1,57.1,13,05,1580,7,05,440,5,1800,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-02,2016-0105-06-01-01-02-02,2016,105,06,1,1,2,2,2013101182,ダイメイキング,10,0,313.1,14,313.1,14,45.5,100.0,14,05,1580,7,05,440,5,1800,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-02,2016-0105-06-01-01-02-03,2016,105,06,1,1,2,3,2013102919,ニシノタイタン,8,0,8.8,4,8.8,4,1.8,3.4,4,05,1580,7,05,440,5,1800,24,0,0,0,1,1,1,0,0,same
2016-0105-06-01-01-02,2016-0105-06-01-01-02-04,2016,105,06,1,1,2,4,2013109101,ノーブルポセイドン,14,0,252.2,13,252.2,13,24.7,54.0,12,05,1580,7,05,440,5,1800,24,0,0,0,1,1,1,0,0,same
