target,feature_set,feature,importance
win,market_free,horse_last1_avg_finish,10.125833991220405
win,market_free,horse_last3_avg_finish,4.524501422584582
win,market_free,horse_last5_avg_finish,4.2909276388660285
win,market_free,BaTaijyu,3.9726388771064327
win,market_free,horse_surface_top3_rate,3.1054378473182296
win,market_free,trainer_win_rate,2.8708076670360603
win,market_free,JyoCD,2.7943596881790196
win,market_free,horse_days_since_last,2.7707506795652157
win,market_free,jockey_ren_rate,2.482816489638779
win,market_free,horse_last5_avg_haron_l3,2.351648539476342
win,market_free,Barei,1.9757750063804855
win,market_free,ChokyosiCode,1.973980437035442
win,market_free,SyussoTosu,1.912112614438832
win,market_free,jockey_dist_band_top3_rate,1.797235564647514
win,market_free,jockey_jyo_top3_rate,1.765297226839154
win,market_free,KisyuCode,1.7472600824400524
win,market_free,horse_last3_win_rate,1.7377394836386089
win,market_free,GradeCD,1.638170977576038
win,market_free,Kyori,1.5969957080522248
win,market_free,jockey_top3_rate,1.5927857627655275
win,market_free,trainer_top3_rate,1.5651411708000986
win,market_free,MonthDay,1.5529848357495641
win,market_free,trainer_ren_rate,1.4890978467510994
win,market_free,horse_last3_avg_haron_l3,1.4507264141049439
win,market_free,horse_last3_top3_rate,1.4002597357345166
win,market_free,JyokenCD5,1.3916783679854456
win,market_free,jockey_jyo_win_rate,1.3666638955569788
win,market_free,horse_baba_win_rate,1.2409330452334442
win,market_free,horse_distance_diff_last,1.2017318152029337
win,market_free,TorokuTosu,1.1478550345184857
win,market_free,horse_baba_top3_rate,1.1327831753287119
win,market_free,TenkoCD,1.0795587252284768
win,market_free,horse_surface_win_rate,1.0746384909374869
win,market_free,horse_last5_top3_rate,1.0264709140496509
win,market_free,horse_last5_place_paid_rate,0.9459170669116274
win,market_free,horse_jockey_top3_rate,0.9379924840654279
win,market_free,horse_past_starts,0.9352306705420865
win,market_free,horse_surface_past_starts,0.9086454970504162
win,market_free,jockey_dist_band_win_rate,0.898018686996133
win,market_free,horse_last3_ren_rate,0.8535930073627801
win,market_free,horse_last5_win_rate,0.83710490157772
