data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
validation,fixed_width,0,0.0013390087556471126,0.09999086398423311,35480,0.03836548379364034,0.037683201803833145,-0.0006822819898071944,win,market_free
validation,fixed_width,1,0.10001107258007838,0.19996888679063227,8164,0.13986623242802826,0.1480891719745223,0.00822293954649403,win,market_free
validation,fixed_width,2,0.20001281951550426,0.2999863706317479,2292,0.2402007861075948,0.2513089005235602,0.011108114415965403,win,market_free
validation,fixed_width,3,0.30009769416681936,0.39898588511528066,630,0.3373423162892899,0.3746031746031746,0.037260858313884704,win,market_free
validation,fixed_width,4,0.4003996333795863,0.4990631661559759,146,0.4394062574256752,0.5342465753424658,0.0948403179167906,win,market_free
validation,fixed_width,5,0.5048010839835312,0.5906412870232797,29,0.5372983580183088,0.5862068965517241,0.04890853853341526,win,market_free
validation,fixed_width,6,0.6102380442816893,0.6723560098271009,11,0.638061809800655,0.6363636363636364,-0.001698173437018613,win,market_free
test,fixed_width,0,0.0010673717230247372,0.09999394394909415,36727,0.03765070356486152,0.0384458300432924,0.0007951264784308784,win,market_free
test,fixed_width,1,0.10000107824982532,0.19997305175107094,7806,0.13927977764847807,0.1525749423520369,0.01329516470355882,win,market_free
test,fixed_width,2,0.20000920885188134,0.29986673096846495,2225,0.2403494535738169,0.2638202247191011,0.023470771145284203,win,market_free
test,fixed_width,3,0.3004102696592974,0.3998738843083059,558,0.33701940115939966,0.35125448028673834,0.014235079127338679,win,market_free
test,fixed_width,4,0.40049200668284946,0.4990099563321245,147,0.4418268360947575,0.38095238095238093,-0.06087445514237655,win,market_free
test,fixed_width,5,0.5046745706515935,0.5893508624535709,27,0.5401616611366608,0.5555555555555556,0.015393894418894827,win,market_free
test,fixed_width,6,0.6033114228540215,0.6790636669805119,7,0.6396042615521107,0.5714285714285714,-0.0681756901235393,win,market_free
latest_holdout,fixed_width,0,0.001255491336483128,0.09998881688241797,16605,0.035910845271888314,0.03806082505269497,0.0021499797808066587,win,market_free
latest_holdout,fixed_width,1,0.10000312720489768,0.19997211575508728,3309,0.14034861127067913,0.1517074644907827,0.011358853220103576,win,market_free
latest_holdout,fixed_width,2,0.20006082644146708,0.2999925922912086,1011,0.2397079862534027,0.2443125618199802,0.004604575566577507,win,market_free
latest_holdout,fixed_width,3,0.3000751173282397,0.3997064793300656,265,0.33825093181410865,0.33962264150943394,0.001371709695325296,win,market_free
latest_holdout,fixed_width,4,0.40033233658230927,0.4991669051773095,69,0.44436088241076077,0.4057971014492754,-0.03856378096148538,win,market_free
latest_holdout,fixed_width,5,0.5020816288113575,0.5964165559647285,13,0.5424297153771711,0.46153846153846156,-0.08089125383870954,win,market_free
latest_holdout,fixed_width,6,0.6215481255130494,0.6459661943920012,4,0.629385624161676,0.5,-0.12938562416167598,win,market_free
validation,quantile,0,0.0013390087556471126,0.011055358545611934,4676,0.007583755141369354,0.00427715996578272,-0.0033065951755866336,win,market_free
validation,quantile,1,0.011058320927971925,0.01760021665287782,4675,0.014325672972244326,0.011550802139037433,-0.002774870833206893,win,market_free
validation,quantile,2,0.017600965279200218,0.025256468897209564,4675,0.02133454368365283,0.020320855614973262,-0.0010136880686795677,win,market_free
validation,quantile,3,0.025262130011520317,0.03448201794809279,4675,0.029729149553301082,0.025668449197860963,-0.004060700355440119,win,market_free
validation,quantile,4,0.034482742668419455,0.045895360282931855,4675,0.039903639503460576,0.03893048128342246,-0.0009731582200381145,win,market_free
validation,quantile,5,0.04589898788831349,0.0612128733382241,4676,0.05318373906914955,0.04897348160821215,-0.004210257460937401,win,market_free
validation,quantile,6,0.06121383346446406,0.08281214731775531,4675,0.07144509501756036,0.07743315508021391,0.005988060062653552,win,market_free
validation,quantile,7,0.08282116136932267,0.11442830499847643,4675,0.09763070482650989,0.10245989304812834,0.004829188221618458,win,market_free
validation,quantile,8,0.11443322651939418,0.16950386538890458,4675,0.13867190204751745,0.1443850267379679,0.005713124690450461,win,market_free
validation,quantile,9,0.16951364889548168,0.6723560098271009,4675,0.24337554704981598,0.266096256684492,0.022720709634676012,win,market_free
test,quantile,0,0.0010673717230247372,0.01052111502564143,4750,0.007299299239082377,0.004,-0.0032992992390823766,win,market_free
test,quantile,1,0.01052218435358752,0.016551775290696024,4750,0.013485061972988741,0.012842105263157894,-0.000642956709830847,win,market_free
test,quantile,2,0.016557009608865778,0.02355340929799244,4750,0.019976566573973512,0.01831578947368421,-0.0016607771002893033,win,market_free
test,quantile,3,0.02355490400927694,0.0325845189812247,4749,0.027908228433055304,0.029479890503263845,0.0015716620702085418,win,market_free
test,quantile,4,0.032586811612706816,0.043779881801378366,4750,0.03789575503001309,0.03936842105263158,0.0014726660226184879,win,market_free
test,quantile,5,0.043781115954301696,0.05910411779351634,4750,0.05101337537041596,0.05052631578947368,-0.0004870595809422784,win,market_free
test,quantile,6,0.059108630474840475,0.07912386787988082,4749,0.06829884328030134,0.07159401979364077,0.0032951765133394373,win,market_free
test,quantile,7,0.0791314557111785,0.10937660590670743,4750,0.0932449820231424,0.10189473684210526,0.008649754818962865,win,market_free
test,quantile,8,0.10937920550554554,0.16347435265610707,4750,0.1332421122522989,0.13978947368421052,0.006547361431911619,win,market_free
test,quantile,9,0.16348850483013563,0.6790636669805119,4749,0.23757127311561024,0.260897030953885,0.023325757838274758,win,market_free
latest_holdout,quantile,0,0.001255491336483128,0.009942964121296093,2128,0.006931082003995392,0.002349624060150376,-0.004581457943845017,win,market_free
latest_holdout,quantile,1,0.009945464311384114,0.015403534626867835,2128,0.012632787575093552,0.010808270676691729,-0.0018245168984018234,win,market_free
latest_holdout,quantile,2,0.015404314849676947,0.021814419094762845,2127,0.018522570518027,0.015044663845792195,-0.0034779066722348036,win,market_free
latest_holdout,quantile,3,0.02181522824021584,0.029736772653335557,2128,0.025571101298099003,0.024906015037593984,-0.0006650862605050191,win,market_free
latest_holdout,quantile,4,0.02973967978314497,0.0404428740085435,2127,0.03481637084704256,0.03244005641748942,-0.0023763144295531405,win,market_free
latest_holdout,quantile,5,0.04044871943882946,0.05508249059555247,2128,0.0473063818511925,0.047932330827067667,0.0006259489758751666,win,market_free
latest_holdout,quantile,6,0.05508678273889381,0.07559176500085422,2128,0.06444142495170652,0.07612781954887218,0.011686394597165667,win,market_free
latest_holdout,quantile,7,0.07561514401033287,0.10713730707632232,2127,0.09027676008749842,0.11001410437235543,0.019737344284857003,win,market_free
latest_holdout,quantile,8,0.10716318605406018,0.16399189486545449,2128,0.13305415319741662,0.14708646616541354,0.014032312967996924,win,market_free
latest_holdout,quantile,9,0.16399629620978654,0.6459661943920012,2127,0.2399943842281449,0.24165491302303715,0.0016605287948922576,win,market_free
validation,fixed_width,0,0.0008201395758104372,0.09999852125518718,35858,0.03716879087175106,0.03787160466283675,0.0007028137910856866,win,market_history
validation,fixed_width,1,0.10000212090800542,0.1999235430602457,7848,0.1400605391660034,0.14933741080530072,0.00927687163929733,win,market_history
validation,fixed_width,2,0.20004192403018944,0.29999664777193014,2175,0.2407757094511613,0.26804597701149424,0.027270267560332934,win,market_history
validation,fixed_width,3,0.3000162826462531,0.3986132003109563,649,0.33844939544097213,0.349768875192604,0.011319479751631889,win,market_history
validation,fixed_width,4,0.4001108591360202,0.49994564072101005,164,0.4397574850717928,0.5060975609756098,0.06634007590381696,win,market_history
validation,fixed_width,5,0.5030694582973406,0.5953712761456242,41,0.5416049976063075,0.7073170731707317,0.16571207556442413,win,market_history
validation,fixed_width,6,0.6022180092090368,0.6893884391877789,17,0.6352939665848888,0.47058823529411764,-0.16470573129077115,win,market_history
test,fixed_width,0,0.0006971197923626117,0.09996966980821397,37104,0.036089865951957664,0.03902544200086244,0.0029355760489047783,win,market_history
test,fixed_width,1,0.1000114813965488,0.19999951504442304,7529,0.13941138394835126,0.15659450126178776,0.017183117313436497,win,market_history
test,fixed_width,2,0.20004356587744163,0.2999654581662203,2079,0.2401768795413772,0.2635882635882636,0.02341138404688639,win,market_history
test,fixed_width,3,0.3000434070559372,0.3999943672137189,556,0.33801603758365334,0.3381294964028777,0.00011345881922436574,win,market_history
test,fixed_width,4,0.40049244394258265,0.4995383546044665,171,0.4406498576442118,0.4152046783625731,-0.025445179281638697,win,market_history
test,fixed_width,5,0.5012709922071811,0.5977861006432847,45,0.5376039762139005,0.4222222222222222,-0.11538175399167833,win,market_history
test,fixed_width,6,0.6054635834740568,0.6786196970076115,11,0.6312423959286749,0.7272727272727273,0.09603033134405237,win,market_history
test,fixed_width,7,0.7118640279817545,0.7506164530241876,2,0.731240240502971,0.0,-0.731240240502971,win,market_history
latest_holdout,fixed_width,0,0.0009449264452156856,0.09996527436673917,16828,0.03429968054676439,0.03880437366294272,0.004504693116178328,win,market_history
latest_holdout,fixed_width,1,0.1000001761566076,0.19977726262434461,3125,0.14036142520658787,0.15712,0.01675857479341214,win,market_history
latest_holdout,fixed_width,2,0.20013964782080654,0.2999838776001159,934,0.2408434538426812,0.24732334047109208,0.006479886628410897,win,market_history
latest_holdout,fixed_width,3,0.3000107384975649,0.39995035019101727,286,0.339506768457413,0.3006993006993007,-0.038807467758112335,win,market_history
latest_holdout,fixed_width,4,0.401443578503494,0.49506950534781863,66,0.43512830151753606,0.45454545454545453,0.019417153027918466,win,market_history
