data_split,model,rows,races,positive,logloss,brier,roc_auc,pr_auc,top1_winner_accuracy,top3_winner_inclusion_rate,race_probability_sum_mean
validation,market_probability,12517,950,937,0.20984423336043215,0.05963229697771212,0.8347404165353358,0.3089756103721434,0.32105263157894737,0.64,1.0
validation,catboost_market_free,12517,950,937,0.22782050008086174,0.0629300235644946,0.7826024887424129,0.24343365548564044,0.28421052631578947,0.58,0.9605330826365187
validation,catboost_market_history,12517,950,937,0.22735080781719566,0.06291869382824243,0.7846502360268597,0.24132904845336478,0.27789473684210525,0.5873684210526315,0.9377506965293673
validation,catboost_market_aware,12517,950,937,0.21163028876137227,0.05975711280373458,0.8300566058950496,0.306203777102967,0.3263157894736842,0.6347368421052632,0.93384291586733
test,market_probability,11448,852,840,0.2093031373375196,0.058488815274850364,0.8374449539431157,0.30694302129310747,0.3215962441314554,0.6678403755868545,1.0
test,catboost_market_free,11448,852,840,0.225834054000198,0.06216205262964601,0.7806721566831861,0.2302054255563825,0.2652582159624413,0.5950704225352113,0.9429429057181414
test,catboost_market_history,11448,852,840,0.2252422968297619,0.06206563072423392,0.782635409933204,0.2316795934281599,0.2664319248826291,0.5950704225352113,0.9230342560616493
test,catboost_market_aware,11448,852,840,0.20789419398491005,0.05883038629131869,0.8348739495798319,0.29586124463070446,0.3086854460093897,0.6596244131455399,0.9097177408857209
latest_holdout,market_probability,6288,454,448,0.20041909860553375,0.055911616595211856,0.8387240475171234,0.3247333827760801,0.3524229074889868,0.6674008810572687,1.0
latest_holdout,catboost_market_free,6288,454,448,0.21631071678643365,0.05986355588474268,0.7998092740949119,0.2442817229649892,0.2709251101321586,0.6211453744493393,0.9369694147059816
latest_holdout,catboost_market_history,6288,454,448,0.21521792103078707,0.059628490543869754,0.8036451963062623,0.24820992954012944,0.28634361233480177,0.6167400881057269,0.9041599354967322
latest_holdout,catboost_market_aware,6288,454,448,0.20150414485539347,0.05635259662521946,0.8374334943737769,0.3203690787672669,0.34140969162995594,0.6585903083700441,0.9070100477093341
