data_split,race_count,mean,median,std,min,max,target,feature_set
train,27639,0.991745330366235,0.9715147021367954,0.27497556753789176,0.16752406591845273,2.3956812890101777,win,market_free
validation,3454,0.9707280814812186,0.9451235025236823,0.2772170580646839,0.298777186089503,2.339601017632385,win,market_free
test,3455,0.94843989400488,0.9262009503013836,0.2718715699674663,0.22963374876458717,2.2523299119753117,win,market_free
latest_holdout,1506,0.9514770525565764,0.9234052728482405,0.27270587316665823,0.31918408102158474,2.0081014116348737,win,market_free
train,27639,0.9840385529795043,0.9628119477357758,0.2779946054875519,0.1520952834144687,2.3760616390615574,win,market_history
validation,3454,0.9497569397907026,0.9216286646595057,0.2785653261077657,0.2491643178584486,2.4595862437622067,win,market_history
test,3455,0.9215400280505399,0.8994798595814648,0.2746061016084712,0.2093281948288547,2.310063616721838,win,market_history
latest_holdout,1506,0.921361173577861,0.8950531497374461,0.2705511765544699,0.26261912642553226,1.9819539549086123,win,market_history
train,27639,0.9888994117294394,0.97473620008245,0.24306810967314407,0.17979587887300832,2.421785954072296,win,market_aware
validation,3454,0.9550474237208036,0.9366111696144435,0.24644912097925828,0.2897474957458529,2.066850275526354,win,market_aware
test,3455,0.9280737901532778,0.9115233458225875,0.24059764235089925,0.22106945808581197,2.292877260063543,win,market_aware
latest_holdout,1506,0.9319380350799011,0.9125823927244332,0.23813763822989,0.27864487904894203,1.9295380851022719,win,market_aware
train,27639,2.9866515218648892,2.9696034475752193,0.6011474984794094,0.72076075547558,6.0781577225318415,place,market_free
validation,3454,2.8301848850605578,2.811358449153099,0.5942479086382848,0.8674753042904714,5.068586270804323,place,market_free
test,3455,2.755410359185667,2.7428856511534496,0.5981764300148407,0.6446935345278537,5.371414265537057,place,market_free
latest_holdout,1506,2.761185901777264,2.733815866512204,0.5965331087722165,1.1440535780371404,4.8486309033626815,place,market_free
train,27639,2.987852164709633,2.9762957035100794,0.6001978771299915,0.7279267654282716,6.031987912402373,place,market_history
validation,3454,2.7835398893116143,2.757409449766386,0.5931554219083411,0.680520110927831,5.166767928025736,place,market_history
test,3455,2.68094288938789,2.6755294160590357,0.596269739982159,0.552181521049273,5.318563921384862,place,market_history
latest_holdout,1506,2.6523901428338577,2.623260681020377,0.5933717345901828,1.0562989716924078,4.63118559829865,place,market_history
train,27639,2.988993116759868,2.9852025865824556,0.5273207871247355,0.7712047260129811,6.250536060856946,place,market_aware
validation,3454,2.8118890282105067,2.8055856037426894,0.5344751924390191,0.9223912218072263,5.167544536305098,place,market_aware
test,3455,2.727819906996769,2.7252647191738077,0.5398838789843449,0.6953963933210567,5.283052609630262,place,market_aware
latest_holdout,1506,2.7280025525684555,2.721678352410667,0.5236427627805116,1.168037485193771,4.828486112357151,place,market_aware
