data_split,bin_type,requested_bin_count,actual_bin_count,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
latest_holdout,fixed_width,10,10,0,0.001907881699,0.099987980138,8485,0.049822131358,0.050324101355,0.000501969997,place,market_aware
latest_holdout,fixed_width,10,10,1,0.100008244937,0.199978572217,4858,0.144864775434,0.156648826678,0.011784051244,place,market_aware
latest_holdout,fixed_width,10,10,2,0.200022644507,0.299933434508,3101,0.246233257495,0.293776201225,0.047542943731,place,market_aware
latest_holdout,fixed_width,10,10,3,0.300130425434,0.399840416345,2036,0.346385373471,0.379666011788,0.033280638317,place,market_aware
latest_holdout,fixed_width,10,10,4,0.400047339124,0.499691866938,1249,0.448094049273,0.483586869496,0.035492820222,place,market_aware
latest_holdout,fixed_width,10,10,5,0.50005728899,0.599755961303,781,0.5471723097,0.603072983355,0.055900673654,place,market_aware
latest_holdout,fixed_width,10,10,6,0.600247209458,0.699985352443,487,0.644198457467,0.663244353183,0.019045895716,place,market_aware
latest_holdout,fixed_width,10,10,7,0.700492455375,0.799243445576,225,0.742788000569,0.795555555556,0.052767554986,place,market_aware
latest_holdout,fixed_width,10,10,8,0.800689964198,0.894657582722,53,0.83586115012,0.943396226415,0.107535076295,place,market_aware
latest_holdout,fixed_width,10,10,9,0.904397369822,0.904397369822,1,0.904397369822,1.0,0.095602630178,place,market_aware
latest_holdout,quantile,10,10,0,0.001907881699,0.026640997998,2128,0.016395211898,0.015037593985,-0.001357617913,place,market_aware
latest_holdout,quantile,10,10,1,0.026644445187,0.048454017986,2128,0.037495587004,0.036654135338,-0.000841451665,place,market_aware
latest_holdout,quantile,10,10,2,0.048471061426,0.072160369421,2127,0.060004921297,0.066760695816,0.006755774519,place,market_aware
latest_holdout,quantile,10,10,3,0.072162577445,0.100248598307,2128,0.086012524623,0.085056390977,-0.000956133646,place,market_aware
latest_holdout,quantile,10,10,4,0.100253490048,0.137473152192,2127,0.117554698638,0.127409496944,0.009854798306,place,market_aware
latest_holdout,quantile,10,10,5,0.137486707691,0.184203815666,2128,0.159837395884,0.172932330827,0.013094934943,place,market_aware
latest_holdout,quantile,10,10,6,0.184220989803,0.244492018399,2127,0.21374977662,0.253408556653,0.039658780032,place,market_aware
latest_holdout,quantile,10,10,7,0.244497975986,0.324656604347,2128,0.281916147155,0.329887218045,0.04797107089,place,market_aware
latest_holdout,quantile,10,10,8,0.3247604416,0.449854607731,2127,0.380339306894,0.411377527033,0.031038220139,place,market_aware
latest_holdout,quantile,10,10,9,0.44987675516,0.904397369822,2128,0.577682913478,0.616541353383,0.038858439905,place,market_aware
test,fixed_width,10,10,0,0.002587635433,0.099995734673,17079,0.051866416981,0.05439428538,0.002527868399,place,market_aware
test,fixed_width,10,10,1,0.100001775338,0.199961367633,11780,0.145840774451,0.167487266553,0.021646492102,place,market_aware
test,fixed_width,10,10,2,0.200005133874,0.299970171461,7665,0.246389304706,0.27084148728,0.024452182573,place,market_aware
test,fixed_width,10,10,3,0.300005521844,0.399987224836,4816,0.345752120573,0.37707641196,0.031324291387,place,market_aware
test,fixed_width,10,10,4,0.400032066543,0.499978739909,2957,0.447001755106,0.483260060873,0.036258305767,place,market_aware
test,fixed_width,10,10,5,0.500024978957,0.599980073076,1751,0.545592050481,0.573386636208,0.027794585727,place,market_aware
test,fixed_width,10,10,6,0.600110615663,0.699725172646,967,0.643426517028,0.681489141675,0.038062624647,place,market_aware
test,fixed_width,10,10,7,0.700228428483,0.799413011921,381,0.741365612882,0.784776902887,0.043411290005,place,market_aware
test,fixed_width,10,10,8,0.801048960892,0.896737887844,93,0.838513195637,0.89247311828,0.053959922642,place,market_aware
test,fixed_width,10,10,9,0.901864381632,0.934907091541,8,0.914918608504,1.0,0.085081391496,place,market_aware
test,quantile,10,10,0,0.002587635433,0.031707985811,4750,0.019628991504,0.016842105263,-0.002786886241,place,market_aware
test,quantile,10,10,1,0.031711119031,0.05582328296,4750,0.043639430867,0.046526315789,0.002886884922,place,market_aware
test,quantile,10,10,2,0.055831631646,0.082684645779,4749,0.068891946761,0.071594019794,0.002702073033,place,market_aware
test,quantile,10,10,3,0.082685011097,0.112781021605,4750,0.097332729534,0.106526315789,0.009193586255,place,market_aware
test,quantile,10,10,4,0.112786581962,0.150894733872,4750,0.131102810456,0.151578947368,0.020476136912,place,market_aware
test,quantile,10,10,5,0.150897838767,0.196028517722,4749,0.172582167199,0.201726679301,0.029144512102,place,market_aware
test,quantile,10,10,6,0.196039632693,0.251921221375,4750,0.22271034644,0.245684210526,0.022973864086,place,market_aware
test,quantile,10,10,7,0.251942720833,0.325730311081,4749,0.286898105711,0.311223415456,0.024325309745,place,market_aware
test,quantile,10,10,8,0.325750322907,0.442624908639,4750,0.378344299774,0.411368421053,0.033024121279,place,market_aware
test,quantile,10,10,9,0.44264062634,0.934907091541,4750,0.563110466679,0.600421052632,0.037310585953,place,market_aware
validation,fixed_width,10,10,0,0.002316066219,0.099997408448,15946,0.052017934515,0.051799824407,-0.000218110108,place,market_aware
validation,fixed_width,10,10,1,0.100020353413,0.199998680593,11500,0.14605589606,0.152869565217,0.006813669158,place,market_aware
validation,fixed_width,10,10,2,0.200015705306,0.299993818532,7562,0.246578095178,0.27135678392,0.024778688742,place,market_aware
validation,fixed_width,10,10,3,0.300030796959,0.399986594598,5020,0.346472358025,0.369123505976,0.022651147951,place,market_aware
validation,fixed_width,10,10,4,0.400003523022,0.499998142902,3128,0.445083074164,0.48273657289,0.037653498726,place,market_aware
validation,fixed_width,10,10,5,0.500044781027,0.59999862787,1887,0.546707406728,0.56279809221,0.016090685482,place,market_aware
validation,fixed_width,10,10,6,0.600015951907,0.699871244406,1089,0.645345684435,0.662993572084,0.01764788765,place,market_aware
validation,fixed_width,10,10,7,0.700073032979,0.799880772701,494,0.742672897208,0.781376518219,0.03870362101,place,market_aware
validation,fixed_width,10,10,8,0.800010317233,0.893379895327,123,0.83736777776,0.829268292683,-0.008099485077,place,market_aware
validation,fixed_width,10,10,9,0.902275320058,0.907005309167,3,0.904763744886,1.0,0.095236255114,place,market_aware
validation,quantile,10,10,0,0.002316066219,0.032766794467,4676,0.020157899089,0.016467065868,-0.00369083322,place,market_aware
validation,quantile,10,10,1,0.032772314824,0.058924149757,4675,0.045545802835,0.043422459893,-0.002123342942,place,market_aware
validation,quantile,10,10,2,0.058931318367,0.08782438174,4675,0.073210648391,0.075080213904,0.001869565513,place,market_aware
validation,quantile,10,10,3,0.087825153935,0.119841504456,4675,0.103181038252,0.105240641711,0.00205960346,place,market_aware
validation,quantile,10,10,4,0.119843145639,0.159184749219,4675,0.138589303817,0.145668449198,0.007079145381,place,market_aware
validation,quantile,10,10,5,0.15919618333,0.206127223997,4675,0.182288110773,0.19422459893,0.011936488157,place,market_aware
validation,quantile,10,10,6,0.206127886843,0.265757904334,4675,0.234860503616,0.254973262032,0.020112758416,place,market_aware
validation,quantile,10,10,7,0.265768841387,0.342477281461,4675,0.301972492333,0.334117647059,0.032145154725,place,market_aware
validation,quantile,10,10,8,0.342478159808,0.45789434331,4675,0.395231434626,0.419679144385,0.024447709759,place,market_aware
validation,quantile,10,10,9,0.457921155074,0.907005309167,4676,0.582323669341,0.608639863131,0.02631619379,place,market_aware
latest_holdout,fixed_width,10,9,0,0.002240732533,0.099992737971,7772,0.054866601049,0.050051466804,-0.004815134245,place,market_free
latest_holdout,fixed_width,10,9,1,0.100001853444,0.199966197222,5539,0.145644954792,0.15724860083,0.011603646038,place,market_free
latest_holdout,fixed_width,10,9,2,0.200022941514,0.299920762377,3189,0.246986949537,0.291000313578,0.044013364041,place,market_free
latest_holdout,fixed_width,10,9,3,0.300075575707,0.399890425176,2056,0.347123390472,0.384727626459,0.037604235987,place,market_free
latest_holdout,fixed_width,10,9,4,0.400148631595,0.49993940032,1330,0.446111567157,0.490977443609,0.044865876452,place,market_free
latest_holdout,fixed_width,10,9,5,0.500006647973,0.599891753368,799,0.544204324609,0.574468085106,0.030263760497,place,market_free
