data_split,model,rows,races,positive,logloss,brier,roc_auc,pr_auc,top1_winner_accuracy,top3_winner_inclusion_rate,race_probability_sum_mean,race_probability_sum_min,race_probability_sum_max
latest_holdout,catboost_market_aware,6191,442,442,0.201833765165,0.056538857836,0.837728221867,0.318598142159,0.339366515837,0.665158371041,0.917105952455,0.580579436547,1.333692313781
latest_holdout,catboost_market_free,6191,442,442,0.216563103633,0.060010528231,0.800450442296,0.242913043941,0.27149321267,0.628959276018,0.947077427528,0.319184081022,2.008101411635
latest_holdout,catboost_market_history,6191,442,442,0.21548242193,0.059771844809,0.80409695489,0.247354991511,0.287330316742,0.62443438914,0.914222339275,0.301815930272,1.981953954909
latest_holdout,market_probability,6191,442,442,0.199911967955,0.055852772469,0.84010183947,0.336644591196,0.350678733032,0.674208144796,1.0,1.0,1.0
test,catboost_market_aware,11266,826,829,0.208786976965,0.059068154265,0.833616784861,0.294783433596,0.312348668281,0.668280871671,0.925473987661,0.530832230377,1.315706518665
test,catboost_market_free,11266,826,829,0.226654535206,0.06239685619,0.779422933141,0.22881110318,0.267554479419,0.602905569007,0.959249871658,0.29109076116,2.152582363031
test,catboost_market_history,11266,826,829,0.22610878277,0.062298702911,0.781183279816,0.2305525906,0.267554479419,0.601694915254,0.93899572008,0.25673223798,2.115904844909
test,market_probability,11266,826,829,0.205765785459,0.058254545237,0.838156690155,0.320265760689,0.325665859564,0.676755447942,1.0,1.0,1.0
validation,catboost_market_aware,12279,922,922,0.212170093552,0.059996799426,0.830250514891,0.303795228907,0.329718004338,0.6431670282,0.943563639986,0.441667404358,1.367908314378
validation,catboost_market_free,12279,922,922,0.228552869152,0.063198680825,0.782434104207,0.24045840552,0.284164859002,0.587852494577,0.970012828451,0.319194649423,2.337256585669
validation,catboost_market_history,12279,922,922,0.22815395838,0.063196832169,0.784204873694,0.238497383726,0.277657266811,0.595444685466,0.946998658456,0.288369819604,2.117702006839
validation,market_probability,12279,922,922,0.209293536372,0.059513968865,0.836077427569,0.320261822085,0.324295010846,0.648590021692,1.0,1.0,1.0
