data_split,target,race_count,top1_winner_accuracy,top3_contains_winner_rate,tie_max_probability_races,feature_set,precision_at_k,recall_at_k,hit_race_rate
latest_holdout,place,1506,,,,market_aware,0.518924302789,0.518426294821,0.924302788845
test,place,3455,,,,market_aware,0.493873613121,0.492932947419,0.902460202605
validation,place,3454,,,,market_aware,0.502798687512,0.501616483304,0.909090909091
latest_holdout,place,1506,,,,market_free,0.504869411244,0.504316069057,0.914342629482
test,place,3455,,,,market_free,0.483550410034,0.482609744332,0.897539797395
validation,place,3454,,,,market_free,0.494064852345,0.492834394904,0.903879559931
latest_holdout,place,1506,,,,market_history,0.504426737494,0.503928729526,0.916998671979
test,place,3455,,,,market_history,0.481041968162,0.480077182827,0.899276410999
validation,place,3454,,,,market_history,0.493968345879,0.492810268288,0.909959467284
latest_holdout,win,1506,0.281540504648,0.613545816733,0,market_aware,,,
test,win,3455,0.286830680174,0.609261939219,0,market_aware,,,
validation,win,3454,0.313839027215,0.626809496236,0,market_aware,,,
latest_holdout,win,1506,0.261620185923,0.598937583001,0,market_free,,,
test,win,3455,0.278147612156,0.592185238784,0,market_free,,,
validation,win,3454,0.298204979734,0.60654313839,0,market_free,,,
latest_holdout,win,1506,0.260956175299,0.59229747676,0,market_history,,,
test,win,3455,0.279594790159,0.591895803184,0,market_history,,,
validation,win,3454,0.296467863347,0.607122177186,0,market_history,,,
