validation,race_id,Umaban,Bamei,NyusenJyuni,KakuteiJyuni,IJyoCD,fuku_slot,fuku_pay,fuku_ninki,status
KakuteiJyuni_normal_only,2016010506010101,12,シゲルヒラマサ,1,1,0,1,120,1,matched
KakuteiJyuni_normal_only,2016010506010101,11,タイトルリーフ,2,2,0,2,200,4,matched
KakuteiJyuni_normal_only,2016010506010101,13,ノボホウセイ,3,3,0,3,140,2,matched
KakuteiJyuni_normal_only,2016010506010102,5,コスモカナディアン,1,1,0,1,440,5,matched
KakuteiJyuni_normal_only,2016010506010102,15,ナポレオンズワード,2,2,0,2,540,6,matched
KakuteiJyuni_normal_only,2016010506010102,7,マイネルトゥラン,3,3,0,3,1450,9,matched
KakuteiJyuni_normal_only,2016010506010103,12,サクラフローラ,1,1,0,1,200,1,matched
KakuteiJyuni_normal_only,2016010506010103,8,サクラヴァローレ,2,2,0,2,880,11,matched
KakuteiJyuni_normal_only,2016010506010103,13,シャンパンサーベル,3,3,0,3,880,10,matched
KakuteiJyuni_normal_only,2016010506010104,10,ファドーグ,1,1,0,1,110,1,matched
KakuteiJyuni_normal_only,2016010506010104,7,モンドクラフト,2,2,0,2,110,2,matched
KakuteiJyuni_normal_only,2016010506010104,2,デジタルフラッシュ,3,3,0,3,220,4,matched
KakuteiJyuni_normal_only,2016010506010105,2,ラグルーラ,1,1,0,1,170,2,matched
KakuteiJyuni_normal_only,2016010506010105,13,ユニゾンデライト,2,2,0,2,190,3,matched
KakuteiJyuni_normal_only,2016010506010105,10,ミライヘノツバサ,3,3,0,3,200,4,matched
KakuteiJyuni_normal_only,2016010506010106,8,レーヴァテイン,1,1,0,1,110,1,matched
KakuteiJyuni_normal_only,2016010506010106,9,シャドウトルーパー,2,2,0,2,120,2,matched
KakuteiJyuni_normal_only,2016010506010106,4,クリミアタイガー,3,3,0,3,150,3,matched
KakuteiJyuni_normal_only,2016010506010107,12,マイネルバサラ,1,1,0,1,210,3,matched
KakuteiJyuni_normal_only,2016010506010107,3,キョウエイギア,2,2,0,2,170,1,matched
KakuteiJyuni_normal_only,2016010506010107,8,エポック,3,3,0,3,350,7,matched
KakuteiJyuni_normal_only,2016010506010108,16,ドリームドルチェ,1,1,0,1,310,6,matched
KakuteiJyuni_normal_only,2016010506010108,12,スティンライクビー,2,2,0,2,200,2,matched
KakuteiJyuni_normal_only,2016010506010108,3,ヤマニンシャンデル,3,3,0,3,1740,13,matched
KakuteiJyuni_normal_only,2016010506010109,3,マウントハレアカラ,1,1,0,1,200,2,matched
KakuteiJyuni_normal_only,2016010506010109,5,クラウンシャイン,2,2,0,2,770,9,matched
KakuteiJyuni_normal_only,2016010506010109,1,トウカイエントリー,3,3,0,3,220,3,matched
KakuteiJyuni_normal_only,2016010506010110,4,ダンツプリウス,1,1,0,1,250,4,matched
KakuteiJyuni_normal_only,2016010506010110,10,アーバンキッド,2,2,0,2,110,1,matched
KakuteiJyuni_normal_only,2016010506010110,6,ショウナンアンセム,3,3,0,3,260,5,matched
KakuteiJyuni_normal_only,2016010506010111,5,ヤマカツエース,1,1,0,1,160,3,matched
KakuteiJyuni_normal_only,2016010506010111,7,マイネルフロスト,2,2,0,2,170,4,matched
KakuteiJyuni_normal_only,2016010506010111,10,フルーキー,3,3,0,3,140,1,matched
KakuteiJyuni_normal_only,2016010506010112,8,アンタラジー,1,1,0,1,110,1,matched
KakuteiJyuni_normal_only,2016010506010112,3,ルナプロスペクター,2,2,0,2,240,3,matched
KakuteiJyuni_normal_only,2016010506010112,7,ダイワミランダ,3,3,0,3,310,6,matched
KakuteiJyuni_normal_only,2016010508010101,5,トウショウジャイロ,1,1,0,1,110,1,matched
KakuteiJyuni_normal_only,2016010508010101,9,クロコダイルロック,2,2,0,2,110,2,matched
KakuteiJyuni_normal_only,2016010508010101,2,リリーシューター,3,3,0,3,210,4,matched
KakuteiJyuni_normal_only,2016010508010102,2,ヒナワジュウ,1,1,0,1,130,1,matched
KakuteiJyuni_normal_only,2016010508010102,7,ウインフェルベール,2,2,0,2,150,2,matched
KakuteiJyuni_normal_only,2016010508010102,9,アリッサム,3,3,0,3,230,4,matched
KakuteiJyuni_normal_only,2016010508010103,12,ゴールドドリーム,1,1,0,1,120,2,matched
KakuteiJyuni_normal_only,2016010508010103,8,スーパーライナー,2,2,0,2,170,4,matched
KakuteiJyuni_normal_only,2016010508010103,5,タイセイブルグ,3,3,0,3,110,1,matched
KakuteiJyuni_normal_only,2016010508010104,9,オーロラポラリス,1,1,0,1,110,1,matched
KakuteiJyuni_normal_only,2016010508010104,15,ミコラソン,2,2,0,2,250,5,matched
KakuteiJyuni_normal_only,2016010508010104,12,イェドプリオル,3,3,0,3,170,2,matched
KakuteiJyuni_normal_only,2016010508010105,5,シンゼンドリーム,1,1,0,1,140,2,matched
KakuteiJyuni_normal_only,2016010508010105,6,アドマイヤキズナ,2,2,0,2,110,1,matched
NyusenJyuni_all,2016010506010101,12,シゲルヒラマサ,1,1,0,1,120,1,matched
NyusenJyuni_all,2016010506010101,11,タイトルリーフ,2,2,0,2,200,4,matched
NyusenJyuni_all,2016010506010101,13,ノボホウセイ,3,3,0,3,140,2,matched
NyusenJyuni_all,2016010506010102,5,コスモカナディアン,1,1,0,1,440,5,matched
NyusenJyuni_all,2016010506010102,15,ナポレオンズワード,2,2,0,2,540,6,matched
NyusenJyuni_all,2016010506010102,7,マイネルトゥラン,3,3,0,3,1450,9,matched
NyusenJyuni_all,2016010506010103,12,サクラフローラ,1,1,0,1,200,1,matched
NyusenJyuni_all,2016010506010103,8,サクラヴァローレ,2,2,0,2,880,11,matched
NyusenJyuni_all,2016010506010103,13,シャンパンサーベル,3,3,0,3,880,10,matched
NyusenJyuni_all,2016010506010104,10,ファドーグ,1,1,0,1,110,1,matched
NyusenJyuni_all,2016010506010104,7,モンドクラフト,2,2,0,2,110,2,matched
NyusenJyuni_all,2016010506010104,2,デジタルフラッシュ,3,3,0,3,220,4,matched
NyusenJyuni_all,2016010506010105,2,ラグルーラ,1,1,0,1,170,2,matched
NyusenJyuni_all,2016010506010105,13,ユニゾンデライト,2,2,0,2,190,3,matched
NyusenJyuni_all,2016010506010105,10,ミライヘノツバサ,3,3,0,3,200,4,matched
NyusenJyuni_all,2016010506010106,8,レーヴァテイン,1,1,0,1,110,1,matched
NyusenJyuni_all,2016010506010106,9,シャドウトルーパー,2,2,0,2,120,2,matched
NyusenJyuni_all,2016010506010106,4,クリミアタイガー,3,3,0,3,150,3,matched
NyusenJyuni_all,2016010506010107,12,マイネルバサラ,1,1,0,1,210,3,matched
NyusenJyuni_all,2016010506010107,3,キョウエイギア,2,2,0,2,170,1,matched
NyusenJyuni_all,2016010506010107,8,エポック,3,3,0,3,350,7,matched
NyusenJyuni_all,2016010506010108,16,ドリームドルチェ,1,1,0,1,310,6,matched
NyusenJyuni_all,2016010506010108,12,スティンライクビー,2,2,0,2,200,2,matched
NyusenJyuni_all,2016010506010108,3,ヤマニンシャンデル,3,3,0,3,1740,13,matched
NyusenJyuni_all,2016010506010109,3,マウントハレアカラ,1,1,0,1,200,2,matched
NyusenJyuni_all,2016010506010109,5,クラウンシャイン,2,2,0,2,770,9,matched
NyusenJyuni_all,2016010506010109,1,トウカイエントリー,3,3,0,3,220,3,matched
NyusenJyuni_all,2016010506010110,4,ダンツプリウス,1,1,0,1,250,4,matched
NyusenJyuni_all,2016010506010110,10,アーバンキッド,2,2,0,2,110,1,matched
NyusenJyuni_all,2016010506010110,6,ショウナンアンセム,3,3,0,3,260,5,matched
NyusenJyuni_all,2016010506010111,5,ヤマカツエース,1,1,0,1,160,3,matched
NyusenJyuni_all,2016010506010111,7,マイネルフロスト,2,2,0,2,170,4,matched
NyusenJyuni_all,2016010506010111,10,フルーキー,3,3,0,3,140,1,matched
NyusenJyuni_all,2016010506010112,8,アンタラジー,1,1,0,1,110,1,matched
NyusenJyuni_all,2016010506010112,3,ルナプロスペクター,2,2,0,2,240,3,matched
NyusenJyuni_all,2016010506010112,7,ダイワミランダ,3,3,0,3,310,6,matched
NyusenJyuni_all,2016010508010101,5,トウショウジャイロ,1,1,0,1,110,1,matched
NyusenJyuni_all,2016010508010101,9,クロコダイルロック,2,2,0,2,110,2,matched
NyusenJyuni_all,2016010508010101,2,リリーシューター,3,3,0,3,210,4,matched
NyusenJyuni_all,2016010508010102,2,ヒナワジュウ,1,1,0,1,130,1,matched
NyusenJyuni_all,2016010508010102,7,ウインフェルベール,2,2,0,2,150,2,matched
NyusenJyuni_all,2016010508010102,9,アリッサム,3,3,0,3,230,4,matched
NyusenJyuni_all,2016010508010103,12,ゴールドドリーム,1,1,0,1,120,2,matched
NyusenJyuni_all,2016010508010103,8,スーパーライナー,2,2,0,2,170,4,matched
NyusenJyuni_all,2016010508010103,5,タイセイブルグ,3,3,0,3,110,1,matched
NyusenJyuni_all,2016010508010104,9,オーロラポラリス,1,1,0,1,110,1,matched
NyusenJyuni_all,2016010508010104,15,ミコラソン,2,2,0,2,250,5,matched
NyusenJyuni_all,2016010508010104,12,イェドプリオル,3,3,0,3,170,2,matched
NyusenJyuni_all,2016010508010105,5,シンゼンドリーム,1,1,0,1,140,2,matched
NyusenJyuni_all,2016010508010105,6,アドマイヤキズナ,2,2,0,2,110,1,matched
