Year,MonthDay,JyoCD,Kaiji,Nichiji,RaceNum,Umaban,KettoNum,Bamei,IJyoCD,se_odds,se_ninki,TanOdds,TanNinki,FukuOddsLow,FukuOddsHigh,FukuNinki,o1_DataKubun,MakeDate,o1_join_found
1986,1102,08,5,2,3,13,1984100310,リキアイオースター,0,125.1,15,,,,,,,,0
1987,118,08,1,6,3,13,1984101726,チェサピーク,0,151.2,11,,,,,,,,0
1987,214,05,1,5,5,2,1984105692,ツジノアンカー,0,79.7,11,,,,,,,,0
1987,1108,08,5,2,5,11,1985101924,リードトライデント,0,5.4,3,,,,,,,,0
1988,501,04,1,4,3,1,1985101492,サロニカセレーネ,0,6.4,2,,,,,,,,0
1988,702,07,2,5,2,8,1985100271,リワードジパング,0,35.5,8,,,,,,,,0
1988,820,10,3,3,4,9,1986103972,ダイイチヒスイ,0,15.7,6,,,,,,,,0
1988,1008,03,3,3,6,5,1985103877,ケンセイメゴ,0,18.7,6,,,,,,,,0
1988,1204,06,2,2,5,14,1986106121,タカラジャガー,5,5.2,2,,,,,,,,0
1989,603,09,3,5,3,8,1986100373,マチカネラプソディ,0,6.2,3,,,,,,,,0
1989,611,01,1,2,4,4,1986105871,ホクトサイレンス,0,12.1,6,,,,,,,,0
1989,730,10,2,6,3,3,1987100029,イチライムテキ,0,91.3,7,,,,,,,,0
1989,730,10,2,6,5,1,1987100040,エイティナイナー,0,60.5,10,,,,,,,,0
1989,909,09,4,1,2,1,1986104965,リトルギャング,0,6.2,3,,,,,,,,0
1990,203,09,1,3,6,6,1987103991,サンドレスアップ,0,51.6,10,,,,,,,,0
1990,728,10,2,5,6,2,1987101228,ミスターテリオス,0,7.1,3,,,,,,,,0
1990,1208,06,5,3,3,1,1988101638,マルヘイセイ,0,2.8,1,,,,,,,,0
1991,223,07,1,1,3,12,1988100820,ヒミノタカモリ,0,37.8,13,,,,,,,,0
1991,331,08,3,4,1,13,1988106041,ダイイチキシュウ,0,23.7,10,,,,,,,,0
1991,1006,08,6,2,2,10,1989108455,ワンダーカーリア,0,111.4,9,,,,,,,,0
1992,502,04,1,3,8,4,1988103218,シンアスワン,0,15.5,7,,,,,,,,0
1992,823,04,3,4,6,8,1989104731,ロングフレーム,0,54.1,9,,,,,,,,0
1993,130,05,1,1,7,3,1990100315,フィールドリッチ,0,61.2,12,,,,,,,,0
1993,227,09,1,1,6,12,1990108284,ハンピンプリンス,0,33.2,8,,,,,,,,0
1993,228,10,2,2,2,8,1990103570,ハレヤカ,0,5.9,4,,,,,,,,0
1993,307,09,1,4,3,6,1990107138,レッドマルトヨ,0,122.7,14,,,,,,,,0
1993,404,09,2,4,2,12,1990106509,ハッピージンクオー,0,106.9,14,,,,,,,,0
1993,704,01,1,8,2,6,1990106970,グリーンノースマン,0,84.3,9,,,,,,,,0
1993,704,08,4,6,4,1,1990109173,アイリッシュロマン,0,5.2,3,,,,,,,,0
1994,109,06,1,4,4,8,1991103875,マイネマジック,0,5.7,4,,,,,,,,0
1994,129,09,2,1,7,4,1991102975,ミキノトラベラー,0,9.0,5,,,,,,,,0
1994,410,09,3,6,1,3,1991101570,シーポピー,0,48.0,7,,,,,,,,0
1994,626,07,2,4,8,4,1990103403,スペシャルスキー,0,21.8,9,,,,,,,,0
1994,807,10,3,8,3,11,1991109032,ザスクープ,0,6.2,2,,,,,,,,0
1994,1203,09,7,1,2,3,1992103629,ヤマニンフライト,0,2.0,1,,,,,,,,0
1995,225,08,3,1,7,14,1992106669,オースミホープ,0,27.2,9,,,,,,,,0
1995,409,06,3,6,1,8,1992110104,トップフーユン,0,4.9,3,,,,,,,,0
1996,303,06,1,4,6,9,1993109231,ライトオンファイア,0,3.3,1,,,,,,,,0
1996,526,07,2,4,4,6,1993102464,テルノビンシュン,0,98.9,11,,,,,,,,0
1996,928,04,3,1,5,7,1993106500,タマリマンド,0,56.7,10,,,,,,,,0
1997,803,01,1,2,3,4,1994108629,フィールスマート,0,30.7,9,,,,,,,,0
1997,1018,03,2,7,4,4,1994108744,ミローズサン,0,6.5,2,,,,,,,,0
1998,530,05,3,3,3,5,1995107786,メジロレキセル,0,196.4,15,,,,,,,,0
1998,607,05,3,6,2,3,1995105811,フジホーク,0,94.4,10,,,,,,,,0
1999,106,08,1,2,6,3,1996104148,ラッキーマルサ,0,114.6,14,,,,,,,,0
1999,130,08,2,1,5,9,1996101836,タイロバリー,0,55.0,7,,,,,,,,0
1999,213,05,1,5,6,14,1996107492,ユーワアプソリュー,0,6.8,3,,,,,,,,0
1999,523,04,1,8,2,12,1996106127,ガッツフィニッシュ,0,27.9,8,,,,,,,,0
1999,612,05,3,7,3,8,1996101080,トラベルライト,0,223.6,13,,,,,,,,0
1999,904,01,2,1,5,9,1997107028,テイエムダイカグラ,0,5.2,3,,,,,,,,0
