year,DataKubun,TanFlag,FukuFlag,tan_odds_status,fuku_odds_status,rows,race_count,valid_tan_rows,null_tan_rows,valid_fuku_rows,null_fuku_rows,tan_valid_rate,fuku_valid_rate,complete_race_count
2016,5,7,7,null,null,32994,2348,0,32994,0,32994,0.0,0.0,
2016,5,7,7,valid,valid,17082,1194,17082,0,17082,0,1.0,1.0,
2017,5,7,7,null,null,35317,2528,0,35317,0,35317,0.0,0.0,
2017,5,7,7,valid,valid,13982,1006,13982,0,13982,0,1.0,1.0,
2017,missing_row,missing_row,missing_row,missing_row,missing_row,371,24,0,0,0,0,0.0,0.0,
2017,9,7,7,null,null,168,12,0,168,0,168,0.0,0.0,
2018,5,7,7,null,null,34835,2541,0,34835,0,34835,0.0,0.0,
2018,5,7,7,valid,valid,13783,997,13783,0,13783,0,1.0,1.0,
2018,missing_row,missing_row,missing_row,missing_row,missing_row,506,37,0,0,0,0,0.0,0.0,
2019,5,7,7,null,null,35956,2663,0,35956,0,35956,0.0,0.0,
2019,5,7,7,valid,valid,11618,857,11618,0,11618,0,1.0,1.0,
2019,missing_row,missing_row,missing_row,missing_row,missing_row,316,36,0,0,0,0,0.0,0.0,
2019,9,7,7,null,null,43,3,0,43,0,43,0.0,0.0,
2020,5,7,7,null,null,36738,2693,0,36738,0,36738,0.0,0.0,
2020,5,7,7,valid,valid,11544,831,11544,0,11544,0,1.0,1.0,
2020,9,7,7,null,null,145,10,0,145,0,145,0.0,0.0,
2021,5,7,7,null,null,34026,2510,0,34026,0,34026,0.0,0.0,
2021,5,7,7,valid,valid,13795,1021,13795,0,13795,0,1.0,1.0,
2022,5,7,7,null,null,32920,2476,0,32920,0,32920,0.0,0.0,
2022,5,7,7,valid,valid,14300,1062,14300,0,14300,0,1.0,1.0,
2023,5,7,7,null,null,31246,2343,0,31246,0,31246,0.0,0.0,
2023,5,7,7,valid,valid,16426,1221,16426,0,16426,0,1.0,1.0,
2024,5,7,7,null,null,34596,2585,0,34596,0,34596,0.0,0.0,
2024,5,7,7,valid,valid,12585,951,12585,0,12585,0,1.0,1.0,
2024,9,7,7,null,null,31,2,0,31,0,31,0.0,0.0,
2025,5,7,7,null,null,36385,2675,0,36385,0,36385,0.0,0.0,
2025,5,7,7,valid,valid,11499,852,11499,0,11499,0,1.0,1.0,
2025,missing_row,missing_row,missing_row,missing_row,missing_row,158,12,0,0,0,0,0.0,0.0,
2025,9,7,7,null,null,16,1,0,16,0,16,0.0,0.0,
2026,5,7,7,null,null,15124,1083,0,15124,0,15124,0.0,0.0,
2026,5,7,7,valid,valid,6311,454,6311,0,6311,0,1.0,1.0,
2026,missing_row,missing_row,missing_row,missing_row,missing_row,653,48,0,0,0,0,0.0,0.0,
2026,9,7,7,null,null,380,28,0,380,0,380,0.0,0.0,
2026,9,3,3,null,null,32,2,0,32,0,32,0.0,0.0,
