race_id,year,month,JyoCD,DataKubun,runner_count,missing_o1_count,tan_valid_count,tan_null_count,fuku_valid_count,fuku_null_count,tan_race_pattern,fuku_race_pattern,tan_fuku_pattern_same
2016010506010111,2016,1,06,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016010508010109,2016,1,08,5,11,0,10,1,10,1,partially_valid,partially_valid,1
2016010906010201,2016,1,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016011607010112,2016,1,07,5,16,0,12,4,12,4,partially_valid,partially_valid,1
2016011608010511,2016,1,08,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016011708010612,2016,1,08,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016012306010707,2016,1,06,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016013007010511,2016,1,07,5,16,0,3,13,3,13,partially_valid,partially_valid,1
2016013105010203,2016,1,05,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016013108020204,2016,1,08,5,16,0,9,7,9,7,partially_valid,partially_valid,1
2016021305010506,2016,2,05,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016021310010102,2016,2,10,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016021405010610,2016,2,05,5,16,0,12,4,12,4,partially_valid,partially_valid,1
2016022806020205,2016,2,06,5,16,0,5,11,5,11,partially_valid,partially_valid,1
2016030506020310,2016,3,06,5,13,0,10,3,10,3,partially_valid,partially_valid,1
2016030506020312,2016,3,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016030509010302,2016,3,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016031206020501,2016,3,06,5,16,0,1,15,1,15,partially_valid,partially_valid,1
2016032106020807,2016,3,06,5,16,0,10,6,10,6,partially_valid,partially_valid,1
2016032607020511,2016,3,07,5,9,0,3,6,3,6,partially_valid,partially_valid,1
2016032607020512,2016,3,07,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016032609020104,2016,3,09,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016032609020105,2016,3,09,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016032709020204,2016,3,09,5,14,0,3,11,3,11,partially_valid,partially_valid,1
2016040206030302,2016,4,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016040209020310,2016,4,09,5,15,0,14,1,14,1,partially_valid,partially_valid,1
2016040309020405,2016,4,09,5,12,0,11,1,11,1,partially_valid,partially_valid,1
2016041009020602,2016,4,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016041609020711,2016,4,09,5,16,0,1,15,1,15,partially_valid,partially_valid,1
2016041709020802,2016,4,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016042305020104,2016,4,05,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016050704010301,2016,5,04,5,13,0,5,8,5,8,partially_valid,partially_valid,1
2016050704010312,2016,5,04,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016050705020508,2016,5,05,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016050708030501,2016,5,08,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016050708030503,2016,5,08,5,12,0,11,1,11,1,partially_valid,partially_valid,1
2016050808030603,2016,5,08,5,17,0,9,8,9,8,partially_valid,partially_valid,1
2016050808030604,2016,5,08,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016051404010504,2016,5,04,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016052105020910,2016,5,05,5,16,0,1,15,1,15,partially_valid,partially_valid,1
2016052108030901,2016,5,08,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016052108030902,2016,5,08,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016052204010804,2016,5,04,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016052805021110,2016,5,05,5,13,0,8,5,8,5,partially_valid,partially_valid,1
2016052808031104,2016,5,08,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016052808031110,2016,5,08,5,10,0,9,1,9,1,partially_valid,partially_valid,1
2016061109030304,2016,6,09,5,16,0,8,8,8,8,partially_valid,partially_valid,1
2016061109030306,2016,6,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016070202010512,2016,7,02,5,12,0,6,6,6,6,partially_valid,partially_valid,1
2016070203020103,2016,7,03,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016070302010608,2016,7,02,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016070902020103,2016,7,02,5,16,0,14,2,14,2,partially_valid,partially_valid,1
2016072307030708,2016,7,07,5,16,0,8,8,8,8,partially_valid,partially_valid,1
2016072402020603,2016,7,02,5,11,0,10,1,10,1,partially_valid,partially_valid,1
2016072402020604,2016,7,02,5,15,0,14,1,14,1,partially_valid,partially_valid,1
2016072402020612,2016,7,02,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016080704020410,2016,8,04,5,18,0,9,9,9,9,partially_valid,partially_valid,1
2016080710020403,2016,8,10,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016081404020602,2016,8,04,5,15,0,6,9,6,9,partially_valid,partially_valid,1
2016081404020605,2016,8,04,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016081404020606,2016,8,04,5,15,0,14,1,14,1,partially_valid,partially_valid,1
2016082104020801,2016,8,04,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016082704020901,2016,8,04,5,18,0,9,9,9,9,partially_valid,partially_valid,1
2016082710020911,2016,8,10,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016082801020409,2016,8,01,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016082801020410,2016,8,01,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016090301020504,2016,9,01,5,16,0,13,3,13,3,partially_valid,partially_valid,1
2016090304021103,2016,9,04,5,15,0,14,1,14,1,partially_valid,partially_valid,1
2016090410021206,2016,9,10,5,18,0,14,4,14,4,partially_valid,partially_valid,1
2016092406040503,2016,9,06,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2016092406040509,2016,9,06,5,12,0,11,1,11,1,partially_valid,partially_valid,1
2016092406040512,2016,9,06,5,17,0,15,2,15,2,partially_valid,partially_valid,1
2016092409040501,2016,9,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016092509040608,2016,9,09,5,16,0,12,4,12,4,partially_valid,partially_valid,1
2016100106040706,2016,10,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016101505040409,2016,10,05,5,8,0,1,7,1,7,partially_valid,partially_valid,1
2016101608040502,2016,10,08,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2016101608040504,2016,10,08,5,11,0,10,1,10,1,partially_valid,partially_valid,1
2016111208050310,2016,11,08,5,13,0,10,3,10,3,partially_valid,partially_valid,1
2016112008050604,2016,11,08,5,16,0,9,7,9,7,partially_valid,partially_valid,1
2016120309050102,2016,12,09,5,12,0,3,9,3,9,partially_valid,partially_valid,1
2016121809050611,2016,12,09,5,18,0,5,13,5,13,partially_valid,partially_valid,1
2016122306050708,2016,12,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016122306050710,2016,12,06,5,12,0,11,1,11,1,partially_valid,partially_valid,1
2016122306050711,2016,12,06,5,9,0,8,1,8,1,partially_valid,partially_valid,1
2016122309050707,2016,12,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2016122409050803,2016,12,09,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2016122409050811,2016,12,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017011607010209,2017,1,07,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017012908020203,2017,1,08,5,15,0,13,2,13,2,partially_valid,partially_valid,1
2017012908020204,2017,1,08,5,13,0,12,1,12,1,partially_valid,partially_valid,1
2017020508020402,2017,2,08,5,14,0,13,1,13,1,partially_valid,partially_valid,1
2017021108020503,2017,2,08,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017021108020507,2017,2,08,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017030506020402,2017,3,06,5,16,0,11,5,11,5,partially_valid,partially_valid,1
2017030506020404,2017,3,06,5,12,0,11,1,11,1,partially_valid,partially_valid,1
2017030509010407,2017,3,09,5,9,0,8,1,8,1,partially_valid,partially_valid,1
2017030509010408,2017,3,09,5,9,0,8,1,8,1,partially_valid,partially_valid,1
2017031809010706,2017,3,09,5,13,0,1,12,1,12,partially_valid,partially_valid,1
2017031909010802,2017,3,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017032006020807,2017,3,06,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017040209020404,2017,4,09,5,16,0,13,3,13,3,partially_valid,partially_valid,1
2017040809020510,2017,4,09,5,18,0,17,1,17,1,partially_valid,partially_valid,1
2017041609020802,2017,4,09,5,16,0,3,13,3,13,partially_valid,partially_valid,1
2017041609020803,2017,4,09,5,16,0,15,1,15,1,partially_valid,partially_valid,1
2017042208030106,2017,4,08,5,12,0,4,8,4,8,partially_valid,partially_valid,1
2017042904010101,2017,4,04,5,14,0,13,1,13,1,partially_valid,partially_valid,1
