year,tan_race_pattern,fuku_race_pattern,races,runner_rows,tan_fuku_same_races
2016,all_null,all_null,2260,32703,2260
2016,all_valid,all_valid,1106,16069,1106
2016,partially_valid,partially_valid,88,1304,88
2017,all_null,all_null,2461,35244,2461
2017,all_valid,all_valid,927,13081,927
2017,missing_o1_rows,missing_o1_rows,24,371,24
2017,partially_valid,partially_valid,79,1142,79
2018,all_null,all_null,2457,34567,2457
2018,all_valid,all_valid,913,12840,913
2018,missing_o1_rows,missing_o1_rows,37,506,37
2018,partially_valid,partially_valid,84,1211,84
2019,all_null,all_null,2598,35759,2598
2019,all_valid,all_valid,789,10859,789
2019,missing_o1_rows,missing_o1_rows,36,316,36
2019,partially_valid,partially_valid,68,999,68
2020,all_null,all_null,2635,36642,2635
2020,all_valid,all_valid,763,10769,763
2020,partially_valid,partially_valid,68,1016,68
2021,all_null,all_null,2435,33735,2435
2021,all_valid,all_valid,946,13015,946
2021,partially_valid,partially_valid,75,1071,75
2022,all_null,all_null,2394,32629,2394
2022,all_valid,all_valid,980,13375,980
2022,partially_valid,partially_valid,82,1216,82
2023,all_null,all_null,2235,30961,2235
2023,all_valid,all_valid,1113,15171,1113
2023,partially_valid,partially_valid,108,1540,108
2024,all_null,all_null,2505,34385,2505
2024,all_valid,all_valid,869,11701,869
2024,partially_valid,partially_valid,82,1126,82
2025,all_null,all_null,2604,36157,2604
2025,all_valid,all_valid,780,10679,780
2025,missing_o1_rows,missing_o1_rows,12,158,12
2025,partially_valid,partially_valid,72,1064,72
2026,all_null,all_null,1082,15423,1082
2026,all_valid,all_valid,423,5960,423
2026,missing_o1_rows,missing_o1_rows,48,653,48
2026,partially_valid,partially_valid,31,464,31
