race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016010506010111,2016,06,14,14,14,13,14,13,0,13,1
2016010508010109,2016,08,11,11,11,10,11,10,0,10,1
2016010906010201,2016,06,16,16,16,15,16,15,0,15,1
2016011608010511,2016,08,14,14,14,13,14,13,0,13,1
2016011708010612,2016,08,14,14,14,13,14,13,0,13,1
2016012306010707,2016,06,13,13,13,12,13,12,0,12,1
2016012406010809,2016,06,16,16,16,15,16,15,0,0,1
2016012408010806,2016,08,16,16,16,15,16,15,0,0,1
2016013005010110,2016,05,11,11,11,10,11,10,0,0,1
2016013005010112,2016,05,16,16,16,15,16,15,0,0,1
2016013007010502,2016,07,16,16,16,15,16,15,0,0,1
2016013007010506,2016,07,16,16,16,15,16,15,0,0,1
2016013105010203,2016,05,16,16,16,15,16,15,0,15,1
2016013107010604,2016,07,14,14,14,13,14,13,0,0,1
2016013107010608,2016,07,14,14,14,13,14,13,0,0,1
2016020608020308,2016,08,16,16,16,15,16,15,0,0,1
2016020708020404,2016,08,14,14,14,13,14,13,0,0,1
2016020708020410,2016,08,15,15,15,14,15,14,0,0,1
2016021310010102,2016,10,14,14,14,13,14,13,0,13,1
2016021310010109,2016,10,16,16,16,15,16,15,0,0,1
2016022108020803,2016,08,16,16,16,15,16,15,0,0,1
2016022108020806,2016,08,14,14,14,13,14,13,0,0,1
2016022706020112,2016,06,16,16,16,15,16,15,0,0,1
2016022709010106,2016,09,13,13,13,11,13,11,0,0,1
2016022709010111,2016,09,15,15,15,14,15,14,0,0,1
2016022709010112,2016,09,14,14,14,13,14,13,0,0,1
2016022710010501,2016,10,16,16,16,15,16,15,0,0,1
2016030506020312,2016,06,16,16,16,15,16,15,0,15,1
2016030509010302,2016,09,16,16,16,15,16,15,0,15,1
2016030609010410,2016,09,12,12,12,11,12,11,0,0,1
2016030610010805,2016,10,18,18,18,17,18,17,0,0,1
2016031209010512,2016,09,16,16,16,15,16,15,0,0,1
2016031306020608,2016,06,16,16,16,15,16,15,0,0,1
2016031309010602,2016,09,16,16,16,15,16,15,0,0,1
2016032106020801,2016,06,16,16,16,15,16,15,0,0,1
2016032606030103,2016,06,16,16,16,15,16,15,0,0,1
2016032607020512,2016,07,16,16,16,15,16,15,0,15,1
2016032609020104,2016,09,13,13,13,12,13,12,0,12,1
2016032609020105,2016,09,18,18,18,17,18,17,0,17,1
2016032706030209,2016,06,10,10,10,9,10,9,0,0,1
2016032706030211,2016,06,16,16,16,15,16,15,0,0,1
2016032709020203,2016,09,16,16,16,15,16,15,0,0,1
2016040206030302,2016,06,16,16,16,15,16,15,0,15,1
2016040209020310,2016,09,15,15,15,14,15,14,0,14,1
2016040309020405,2016,09,12,12,12,11,12,11,0,11,1
2016040906030502,2016,06,15,15,15,14,15,14,0,0,1
2016041009020602,2016,09,16,16,16,15,16,15,0,15,1
2016041709020802,2016,09,16,16,16,15,16,15,0,15,1
2016042305020104,2016,05,18,18,18,17,18,17,0,17,1
2016042405020212,2016,05,15,15,15,14,15,14,0,0,1
2016042408030204,2016,08,18,18,18,17,18,17,0,0,1
2016043005020303,2016,05,16,16,16,15,16,15,0,0,1
2016043008030311,2016,08,15,15,15,14,15,14,0,0,1
2016050104010202,2016,04,15,15,15,14,15,14,0,0,1
2016050105020403,2016,05,16,16,16,15,16,15,0,0,1
2016050105020405,2016,05,16,16,16,15,16,15,0,0,1
2016050108030409,2016,08,12,12,12,11,12,11,0,0,1
2016050704010312,2016,04,13,13,13,12,13,12,0,12,1
2016050705020508,2016,05,14,14,14,13,14,13,0,13,1
2016050708030501,2016,08,13,13,13,12,13,12,0,12,1
2016050708030503,2016,08,12,12,12,11,12,11,0,11,1
2016050804010412,2016,04,15,15,15,14,15,14,0,0,1
2016050808030604,2016,08,18,18,18,17,18,17,0,17,1
2016051404010504,2016,04,13,13,13,12,13,12,0,12,1
2016051408030710,2016,08,11,11,11,10,11,10,0,0,1
2016051508030802,2016,08,16,16,16,15,16,15,0,0,1
2016051508030808,2016,08,18,18,18,17,18,17,0,0,1
2016052108030901,2016,08,16,16,16,15,16,15,0,15,1
2016052108030902,2016,08,16,16,16,15,16,15,0,15,1
2016052204010804,2016,04,14,14,14,13,14,13,0,13,1
2016052808031104,2016,08,16,16,16,15,16,15,0,15,1
2016052808031110,2016,08,10,10,10,9,10,9,0,9,1
2016060405030111,2016,05,15,15,15,14,15,14,0,0,1
2016060409030107,2016,09,18,18,18,17,18,17,0,0,1
2016061109030301,2016,09,16,16,16,15,16,15,0,0,1
2016061109030304,2016,09,16,16,16,15,16,15,0,8,1
2016061109030306,2016,09,16,16,16,15,16,15,0,15,1
2016061805030504,2016,05,12,12,12,11,12,11,0,0,1
2016061905030608,2016,05,16,16,16,15,16,15,0,0,1
