race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016010506010101,2016,06,16,16,16,16,16,16,0,16,0
2016010506010102,2016,06,16,16,16,16,16,16,0,16,0
2016010506010103,2016,06,16,16,16,16,16,16,0,16,0
2016010506010104,2016,06,16,16,16,16,16,16,0,16,0
2016010506010105,2016,06,15,15,15,15,15,15,0,15,0
2016010506010106,2016,06,14,14,14,14,14,14,0,14,0
2016010506010107,2016,06,16,16,16,16,16,16,0,16,0
2016010506010108,2016,06,16,16,16,16,16,16,0,16,0
2016010506010109,2016,06,15,15,15,15,15,15,0,15,0
2016010506010110,2016,06,10,10,10,10,10,10,0,10,0
2016010506010111,2016,06,14,14,14,13,14,13,0,13,1
2016010506010112,2016,06,16,16,16,16,16,16,0,16,0
2016010508010101,2016,08,15,15,15,15,15,15,0,15,0
2016010508010102,2016,08,16,16,16,16,16,16,0,16,0
2016010508010103,2016,08,14,14,14,14,14,14,0,14,0
2016010508010104,2016,08,16,16,16,16,16,16,0,16,0
2016010508010105,2016,08,15,15,15,15,15,15,0,15,0
2016010508010106,2016,08,13,13,13,13,13,13,0,13,0
2016010508010107,2016,08,16,16,16,16,16,16,0,16,0
2016010508010108,2016,08,15,15,15,15,15,15,0,15,0
2016010508010109,2016,08,11,11,11,10,11,10,0,10,1
2016010508010110,2016,08,11,11,11,11,11,11,0,11,0
2016010508010111,2016,08,17,17,17,17,17,17,0,17,0
2016010508010112,2016,08,11,11,11,11,11,11,0,11,0
2016010906010201,2016,06,16,16,16,15,16,15,0,15,1
2016010906010202,2016,06,16,16,16,16,16,16,0,16,0
2016010906010203,2016,06,16,16,16,16,16,16,0,16,0
2016010906010204,2016,06,14,14,14,14,14,14,0,14,0
2016010906010205,2016,06,16,16,16,16,16,16,0,16,0
2016010906010206,2016,06,16,16,16,16,16,16,0,16,0
2016010906010207,2016,06,16,16,16,16,16,16,0,16,0
2016010906010208,2016,06,9,9,9,9,9,9,0,9,0
2016010906010209,2016,06,14,14,14,14,14,14,0,14,0
2016010906010210,2016,06,14,14,14,14,14,14,0,14,0
2016010906010211,2016,06,16,16,16,16,16,16,0,16,0
2016010906010212,2016,06,16,16,16,16,16,16,0,16,0
2016010908010201,2016,08,16,16,16,16,16,16,0,16,0
2016010908010202,2016,08,16,16,16,16,16,16,0,16,0
2016010908010203,2016,08,16,16,16,16,16,16,0,16,0
2016010908010204,2016,08,16,16,16,16,16,16,0,16,0
2016010908010205,2016,08,16,16,16,16,16,16,0,16,0
2016010908010206,2016,08,16,16,16,16,16,16,0,16,0
2016010908010207,2016,08,16,16,16,16,16,16,0,16,0
2016010908010208,2016,08,16,16,16,16,16,16,0,16,0
2016010908010209,2016,08,16,16,16,16,16,16,0,16,0
2016010908010210,2016,08,11,11,11,11,11,11,0,11,0
2016010908010211,2016,08,10,10,10,10,10,10,0,10,0
2016010908010212,2016,08,16,16,16,16,16,16,0,16,0
2016011006010301,2016,06,16,16,16,16,16,16,0,16,0
2016011006010302,2016,06,16,16,16,16,16,16,0,16,0
2016011006010303,2016,06,16,16,16,16,16,16,0,16,0
2016011006010304,2016,06,14,14,14,14,14,14,0,14,0
