year,rows,races,unfinalized_races,finalized_races,win_training_rows,place_training_rows,ranking_training_rows,target_win_rank_paid_mismatch,target_top3_rank_place_paid_mismatch,target_place_by_rule_paid_mismatch,new_horse_rows,entry_id_duplicates,elapsed_sec
2016,50076,3454,0,3454,49697,49697,49697,0,18,1,11237,0,0.036
2017,49838,3491,36,3455,48922,48922,48922,0,48,4,4808,0,0.029
2018,49124,3491,37,3454,48199,48199,48199,0,48,8,4814,0,0.08
2019,47933,3491,39,3452,47118,47118,47118,0,65,7,4979,0,0.023
2020,48427,3466,10,3456,47876,47876,47876,2,63,7,4889,0,0.027
2021,47821,3456,0,3456,47476,47476,47476,0,64,1,4690,0,0.023
2022,47220,3456,0,3456,46840,46840,46840,0,79,1,4737,0,0.023
2023,47672,3456,0,3456,47273,47273,47273,0,74,2,4839,0,0.022
2024,47212,3456,2,3454,46752,46752,46752,0,97,10,4959,0,0.022
2025,48058,3468,13,3455,47497,47497,47497,0,100,5,5056,0,0.024
2026,22500,1584,78,1506,21276,21276,21276,0,23,0,1609,0,0.017
