year,rows,columns,races,finalized_races,unfinalized_races,win_training_rows,place_training_rows,ranking_training_rows,target_win_rank_paid_mismatch,target_top3_rank_place_paid_mismatch,target_place_by_rule_paid_mismatch,entry_id_duplicates,horse_past_starts_max,new_horse_rows,win_no_result_rows,place_no_result_rows,ranking_no_result_rows,win_invalid_horse_id_rows,place_invalid_horse_id_rows,ranking_invalid_horse_id_rows,elapsed_sec
2016,50076,160,3454,3454,0,49697,49697,49697,0,18,1,0,18,11237,0,0,0,0,0,0,4.33
2017,49838,160,3491,3455,36,48922,48922,48922,0,48,4,0,34,4808,539,539,539,0,0,0,4.934
2018,49124,160,3491,3454,37,48199,48199,48199,0,48,8,0,43,4814,506,506,506,0,0,0,4.916
2019,47933,160,3491,3452,39,47118,47118,47118,0,65,7,0,51,4979,359,359,359,0,0,0,4.841
2020,48427,160,3466,3456,10,47876,47876,47876,2,63,7,0,62,4889,145,145,145,0,0,0,4.907
2021,47821,160,3456,3456,0,47476,47476,47476,0,64,1,0,63,4690,0,0,0,0,0,0,5.371
2022,47220,160,3456,3456,0,46840,46840,46840,0,79,3,0,67,4737,0,0,0,0,0,0,5.689
2023,47672,160,3456,3456,0,47273,47273,47273,0,74,2,0,74,4839,0,0,0,0,0,0,5.046
2024,47212,160,3456,3454,2,46752,46752,46752,0,97,10,0,69,4959,31,31,31,0,0,0,5.012
2025,48058,160,3468,3455,13,47497,47497,47497,0,100,5,0,79,5056,174,174,174,0,0,0,5.178
2026,22500,160,1584,1506,78,21276,21276,21276,0,23,0,0,81,1609,1065,1065,1065,0,0,0,2.511
