year,rows,columns,races,finalized_races,unfinalized_races,entry_id_duplicates,history_cutoff_date_violation_count,win_training_rows,place_training_rows,ranking_training_rows,elapsed_sec
2016,50076,160,3454,3454,0,0,0,49697,49697,49697,5.092
2017,49838,160,3491,3455,36,0,0,48922,48922,48922,5.645
2018,49124,160,3491,3454,37,0,0,48199,48199,48199,6.061
2019,47933,160,3491,3452,39,0,0,47118,47118,47118,5.973
2020,48427,160,3466,3456,10,0,0,47876,47876,47876,6.192
2021,47821,160,3456,3456,0,0,0,47476,47476,47476,6.301
2022,47220,160,3456,3456,0,0,0,46840,46840,46840,6.592
2023,47672,160,3456,3456,0,0,0,47273,47273,47273,6.461
2024,47212,160,3456,3454,2,0,0,46752,46752,46752,6.283
2025,48058,160,3468,3455,13,0,0,47497,47497,47497,5.847
2026,22500,160,1584,1506,78,0,0,21276,21276,21276,2.61
